year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,currency_crises,inflation_crises,banking_crisis
1870,1,0.052264,0,0,0,0,0,1
1871,0,0.052798,0,0,0,0,0,0
1872,0,0.052274,0,0,0,0,0,0
1873,0,0.05168,0,0,0,0,0,0
1874,0,0.051308,0,0,0,0,0,0
1875,0,0.051546,0,0,0,0,0,0
1876,0,0.051867,0,0,0,0,0,0
1877,0,0.051867,0,0,0,0,1,0
1878,0,0.051948,0,0,0,0,0,0
1879,0,0.052029,0,0,0,0,0,0
1880,0,0.052356,0,0,0,0,0,0
1881,0,0.052029,0,0,0,0,0,0
1882,0,0.050761,0,0,0,0,0,0
1883,0,0.052002,0,0,0,0,0,0
1884,0,0.052165,0,0,0,0,0,0
1939,0,0.44903,0,0,0,0,0,0
1940,0,0.49189,0,0,0,0,1,0
1941,0,0.44937,0,0,0,0,0,0
1942,0,0.75,0,0,0,0,1,0
1943,0,0.5,0,0,0,1,1,0
1944,0,0.5,0,0,0,1,1,0
1945,0,1.191,0,0,0,0,1,0
1946,0,1.191,0,0,0,0,0,0
1947,0,1.193,0,0,0,0,1,0
1948,0,2.662,0,0,0,0,1,0
1949,0,3.49,0,0,0,0,1,0
1950,0,3.499,0,0,0,0,0,0
1951,0,3.5,0,0,0,0,0,0
1952,0,3.5,0,0,0,0,0,0
1953,0,3.5,0,0,0,0,0,0
1954,0,3.5,0,0,0,0,0,0
1955,0,3.5,0,0,0,0,0,0
1956,0,3.5,0,0,0,0,0,0
1957,0,4.199,0,0,0,0,0,0
1958,0,4.906,0,0,0,0,0,0
1959,0,4.909,0,0,0,0,0,0
1960,0,4.93706,0,0,0,1,0,0
1961,0,4.93706,0,0,0,0,0,0
1968,0,4.93706,0,0,0,0,0,0
1969,0,4.93706,0,0,0,0,0,0
1970,0,4.93706,0,0,0,0,0,0
1971,0,4.644,0,0,0,0,0,0
1972,0,4.556,0,0,0,0,0,0
1973,0,4.185,0,0,0,0,0,0
1974,0,3.997,0,0,0,0,0,0
1975,0,4.125,0,0,0,0,0,0
1976,0,4.359,0,0,0,0,0,0
1977,0,4.035,0,0,0,0,0,0
1978,0,3.8345,0,0,0,0,0,0
1979,0,3.7555,0,0,0,0,0,0
1980,0,3.9715,0,0,0,0,0,0
1981,0,4.378,0,0,0,0,0,0
1982,0,4.6355,0,0,0,0,0,0
1983,0,4.9165,0,0,0,0,0,0
1984,0,5.1227,0,0,0,0,0,0
1985,0,4.7728,0,0,0,0,0,0
1986,0,4.8235,0,0,0,0,0,0
1987,0,4.9363,0,0,0,0,0,0
1988,0,6.7308,0,0,0,1,0,0
1989,0,8.0324,0,0,0,1,0,0
1990,1,12.1908,0,0,0,1,0,1
1991,1,21.3919,0,1,0.23,1,1,1
1992,1,22.7814,0,1,0.23,0,1,1
1993,0,24.123,0,1,0.23,0,1,0
1994,0,42.8925,0,1,0.23,1,1,0
1995,0,52.175,0,1,0.23,1,1,0
1996,0,56.1859,0,1,0.23,0,0,0
1997,0,58.4139,0,0,0,0,0,0
1998,0,60.3531,0,0,0,0,0,0
1999,0,69.3143,0,0,0,0,0,0
2000,0,75.3428,0,0,0,0,0,0
2001,0,77.8196,0,0,0,0,0,0
2002,0,79.7234,0,0,0,0,0,0
2003,0,72.6128,0,0,0,0,0,0
2004,0,72.6137,0,0,0,0,0,0
2005,0,73.3799,0,0,0,0,0,0
2006,0,71.1582,0,0,0,0,0,0
2007,0,66.8299,0,0,0,0,0,0
2008,0,71.1826,0,0,0,0,0,0
2009,0,72.7309,0,0,0,0,0,0
2010,0,74.9437,0,0,0,0,0,0
2011,0,76.0563,0,0,0,0,0,0
2012,0,78.1025,0,0,0,0,0,0
2013,0,78.1487013,0,0,0,0,0,0
2014,0,87.9706983,0,0,0,0,0,0
1921,0,1.25E-08,0,0,0,0,1,0
1922,0,2.21E-08,0,0,0,0,1,0
1923,0,2.81E-08,0,0,0,0,1,0
1924,0,2.08E-08,0,0,0,0,1,0
1925,0,1.95E-08,0,0,0,0,0,0
1926,0,1.95E-08,0,0,0,0,0,0
1927,0,2.02E-08,0,0,0,0,0,0
1928,0,2.27E-08,0,0,0,0,0,0
1929,0,2.22E-08,0,0,0,0,0,0
1930,0,2.23E-08,0,0,0,0,0,0
1931,0,3.10E-08,0,0,0,0,0,0
1932,0,3.31E-08,0,0,0,0,0,0
1933,0,2.13E-08,0,0,0,0,0,0
1934,0,2.22E-08,0,0,0,0,0,0
1935,0,2.23E-08,0,0,0,0,0,0
1936,0,2.25E-08,0,0,0,0,0,0
1937,0,2.21E-08,0,0,0,0,0,0
1938,0,2.36E-08,0,0,0,0,0,0
1939,0,2.77E-08,0,0,0,0,0,0
1940,0,2.51E-08,0,0,0,0,0,0
1941,0,2.50E-08,0,0,0,0,0,0
1942,0,2.50E-08,0,0,0,0,0,0
1943,0,2.50E-08,0,0,0,0,0,0
1944,0,2.50E-08,0,0,0,0,0,0
1945,0,2.50E-08,0,0,0,0,0,0
1946,0,2.63E-08,0,0,0,0,0,0
1947,0,2.50E-08,0,0,0,0,0,0
1948,0,2.58E-08,0,0,0,0,0,0
1949,0,2.86E-08,0,0,0,0,0,0
1950,0,2.91E-08,0,0,0,0,0,0
1951,0,2.91E-08,0,0,0,0,0,0
1952,0,2.90E-08,0,0,0,0,0,0
1953,0,2.90E-08,0,0,0,0,0,0
1954,0,2.88E-08,0,0,0,0,0,0
1955,0,2.88E-08,0,0,0,0,0,0
1956,0,2.88E-08,0,0,0,0,0,0
1957,0,2.88E-08,0,0,0,0,0,0
1958,0,2.88E-08,0,0,0,0,0,0
1959,0,2.89E-08,0,0,0,1,0,0
1960,0,2.88E-08,0,0,0,0,0,0
1961,0,2.88E-08,0,0,0,0,0,0
1962,0,2.89E-08,0,0,0,0,0,0
1970,0,2.88E-08,0,0,0,1,0,0
1971,0,2.76E-08,0,0,0,0,0,0
1972,0,2.70E-08,0,0,0,1,0,0
1973,0,2.58E-08,0,0,0,1,0,0
1974,0,2.46E-08,0,0,0,0,1,0
1975,0,2.75E-08,0,0,0,0,1,0
1976,0,2.99E-08,1,0,0,0,1,0
1977,0,2.99E-08,0,0,0,0,1,0
1978,0,2.99E-08,0,0,0,0,1,0
1979,0,2.99E-08,0,0,0,0,1,0
1980,0,2.99E-08,0,0,0,0,1,0
1991,0,1.80E-07,0,1,0,1,1,0
1992,0,5.50E-07,1,1,0,1,1,1
1993,0,6.50E-06,1,1,0,1,1,1
1994,0,0.000509262,1,1,0,1,1,1
1996,0,0.201994,1,1,0,1,1,1
1997,0,0.262376,1,1,0,1,1,1
1998,0,0.6965,1,1,0,1,1,1
2000,0,16.81784,1,1,0,1,1,0
2001,0,31.94936,1,1,0,1,1,0
2002,0,58.66637,1,1,0,1,1,0
2003,0,79.08149,0,1,0,1,1,0
2004,0,85.98779,0,0,0,1,1,0
2005,0,80.77951,0,0,0,1,1,0
2006,0,80.26442,0,0,0,0,0,0
2007,0,75.023,0,0,0,0,0,0
2008,0,75.169,0,0,0,0,0,0
2009,0,89.398,0,0,0,1,0,0
2010,0,92.643,0,0,0,0,0,0
2011,0,95.272,0,0,0,0,0,0
2012,0,95.82588521,0,0,0,0,0,0
2013,0,97.56,0,0,0,0,0,0
2014,0,101.49,0,0,0,0,0,0
1957,0,209.9498515,0,0,0,0,0,0
1958,0,245.2998265,0,0,0,0,0,0
1959,0,245.4498264,0,0,0,1,0,0
1960,0,245.1298266,0,0,0,0,0,0
1961,0,245.0648267,0,0,0,0,0,0
1962,0,245.0048267,0,0,0,0,0,0
1963,0,245.0998266,0,0,0,0,0,0
1964,0,245.0048267,0,0,0,0,0,0
1965,0,245.0748266,0,0,0,0,0,0
1966,0,247.5898249,0,0,0,0,0,0
1967,0,245.4248264,0,0,0,0,0,0
1968,0,247.404825,0,0,0,0,0,0
1969,0,277.9148034,0,0,0,0,0,0
1970,0,276.0248048,0,0,0,0,0,0
1971,0,261.2248152,0,0,0,0,1,0
1972,0,256.0498189,0,0,0,0,0,0
1973,0,235.4248335,0,0,0,0,0,0
1974,0,222.2248428,0,0,0,0,0,0
1975,0,224.2748413,0,0,0,0,0,0
1976,1,248.4873242,0,0,0,0,0,1
1977,1,235.2498335,0,0,0,0,0,1
1978,1,208.9998521,0,0,0,0,0,1
1979,1,200.9998578,0,0,0,0,0,1
1980,1,225.7998402,0,0,0,0,0,1
1981,1,287.3997967,0,1,0,0,0,1
1982,1,336.2497621,0,0,0,0,0,1
1983,0,417.3747047,0,1,0,0,0,0
1984,0,479.5996607,0,1,0,0,0,0
1985,0,378.0497326,0,1,0,0,0,0
1986,0,322.7497717,0,1,0,0,0,0
1987,0,266.9998111,0,1,0,0,0,0
1988,1,302.9497857,0,1,0,0,0,1
1989,1,289.3997953,0,1,0,0,0,1
1990,1,256.4498186,0,1,0,0,0,1
1991,1,258.9998168,0,1,0,0,0,1
1992,1,275.3248052,0,1,0,0,0,1
1993,1,294.7747915,0,1,0,0,0,1
1994,1,534.5996218,0,1,0,1,1,1
1995,1,489.9996534,0,1,0,0,0,1
1996,1,523.6996296,0,1,0,0,0,1
1997,1,598.8095764,0,1,0,0,0,1
1998,1,562.2096023,0,1,0,0,0,1
1999,1,652.9534143,0,1,0,0,0,1
2002,0,625.4953752,0,1,0,0,0,0
2003,0,519.3642122,0,1,0,0,0,0
2004,0,481.5777109,0,1,0,0,0,0
2005,0,556.0371281,0,1,0,0,0,0
2006,0,498.0690964,0,1,0,0,0,0
2007,0,445.5926907,0,1,0,0,0,0
2008,0,471.3350578,0,1,0,0,0,0
2009,0,455.3359711,0,1,0,0,0,0
2010,0,490.9122886,0,1,0,0,0,0
2011,0,506.9611253,0,1,0,0,0,0
2012,0,497.1631044,0,1,0,0,0,0
2013,0,475.6413603,0,1,0,0,0,0
2014,0,540.2825138,0,1,0,0,0,0
1952,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,1,0
1959,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0
1970,0,278,0,0,0,0,0,0
1971,0,264,0,0,0,0,0,0
1972,0,255.5,0,0,0,0,0,0
1973,0,238,0,0,0,0,0,0
1974,0,222,0,0,0,0,0,0
1975,0,220,0,0,0,0,0,0
1976,0,247,0,0,0,0,0,0
1977,0,236,0,0,0,0,1,0
1978,0,243.5,0,0,0,0,0,0
1979,0,205,0,0,0,0,1,0
1980,0,221,0,0,0,0,0,0
1981,0,290,0,0,0,0,0,0
1982,0,352,0,0,0,0,0,0
1983,0,450,0,1,0,0,0,0
1984,0,486.5,0,1,0,0,0,0
1985,0,380,0,1,0,0,0,0
1986,0,319,0,1,0,0,0,0
1987,0,277,0,1,0,0,0,0
1988,1,310,0,1,0,0,0,1
1989,1,305,0,1,0,0,0,1
1990,1,267,0,1,0,0,0,1
1991,1,265,0,1,0,0,0,1
1992,0,278,0,1,0,0,0,0
1993,0,297,0,1,0,0,0,0
1994,0,540,0,1,0,1,1,0
1995,0,495,0,1,0,0,0,0
1996,0,525.7,0,1,0,0,0,0
1997,0,616,0,1,0,0,0,0
1998,0,576,0,1,0,0,0,0
1999,0,0,0,0,0,0,0,0
2000,0,0,0,1,0,0,0,0
2001,0,0,0,1,0,0,0,0
2002,0,0,0,1,0,0,0,0
2003,0,0,0,1,0,0,0,0
2004,0,0,0,1,0,0,0,0
2005,0,0,0,1,0,0,0,0
2006,0,0,0,1,0,0,0,0
2007,0,0,0,1,0,0,0,0
2008,0,0,0,1,0,0,0,0
2009,0,0,0,1,0,0,0,0
2010,0,0,0,1,0,0,0,0
2011,0,0,0,1,0,0,0,0
2012,0,0,0,1,0,0,0,0
2013,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0
1860,0,0.20661157,0,0,0,0,0,0
1861,0,0.20661157,0,0,0,0,0,0
1862,0,0.20661157,0,0,0,0,0,0
1863,0,0.20661157,0,0,0,0,0,0
1864,0,0.20661157,0,0,0,0,0,0
1865,0,0.20661157,0,0,0,0,0,0
1866,0,0.20661157,0,0,0,0,0,0
1867,0,0.20661157,0,0,0,0,0,0
1868,0,0.20661157,0,0,0,0,0,0
1869,0,0.1967,0,0,0,0,0,0
1870,0,0.196,0,0,0,0,0,0
1871,0,0.1978,0,0,0,0,0,0
1872,0,0.1984,0,0,0,0,0,0
1873,0,0.197,0,0,0,0,0,0
1874,0,0.198,0,0,0,0,0,0
1875,0,0.1941,0,0,0,0,0,0
1876,0,0.1983,0,1,0.4,0,0,0
1877,0,0.1955,0,1,0.4,0,0,0
1878,0,0.1967,0,1,0.4,0,0,0
1879,0,0.1981,0,1,0.4,0,0,0
1880,0,0.201,0,1,0.4,0,0,0
1881,0,0.2,0,0,0,0,0,0
1882,0,0.1998,0,0,0,0,0,0
1883,0,0.1998,0,0,0,0,0,0
1884,0,0.2003,0,0,0,0,0,0
1885,0,0.1991,0,0,0,0,0,0
1886,0,0.2007,0,0,0,0,0,0
1887,0,0.1999,0,0,0,0,0,0
1888,0,0.1987,0,0,0,0,0,0
1889,0,0.2005,0,0,0,0,0,0
1890,0,0.2003,0,0,0,0,0,0
1891,0,0.201,0,0,0,0,0,0
1892,0,0.1993,0,0,0,0,0,0
1893,0,0.1983,0,0,0,0,0,0
1894,0,0.199,0,0,0,0,0,0
1895,0,0.1971,0,0,0,0,0,0
1896,0,0.1976,0,0,0,0,0,0
1897,0,0.1986,0,0,0,0,0,0
1898,0,0.1985,0,0,0,0,0,0
1899,0,0.1951,0,0,0,0,0,0
1900,0,0.1999,0,0,0,0,0,0
1901,0,0.1975,0,0,0,0,0,0
1902,0,0.1988,0,0,0,0,0,0
1903,0,0.2009,0,0,0,0,0,0
1904,0,0.1994,0,0,0,0,0,0
1905,0,0.201,0,0,0,0,0,0
1906,0,0.2003,0,0,0,0,0,0
1907,1,0.2006,0,0,0,0,0,1
1908,0,0.1994,0,0,0,0,0,0
1909,0,0.1995,0,0,0,0,0,0
1910,0,0.1999,0,0,0,0,0,0
1911,0,0.1996,0,0,0,0,0,0
1912,0,0.1998,0,0,0,0,0,0
1913,0,0.2007,0,0,0,0,0,0
1914,0,0.1996,0,0,0,0,0,0
1915,0,0.206,0,0,0,0,0,0
1916,0,0.2049,0,0,0,0,0,0
1917,0,0.2049,0,0,0,0,1,0
1918,0,0.2042,0,0,0,0,0,0
1919,0,0.2554,0,0,0,0,0,0
1920,0,0.2787,0,0,0,0,1,0
1921,0,0.2343,0,0,0,0,0,0
1922,0,0.2112,0,0,0,0,0,0
1923,0,0.2244,0,0,0,0,0,0
1924,0,0.2074,0,0,0,0,0,0
1925,0,0.2008,0,0,0,0,0,0
1926,0,0.2011,0,0,0,0,0,0
1927,0,0.1998,0,0,0,0,0,0
1928,0,0.201,0,0,0,0,0,0
1929,0,0.1998,0,0,0,0,0,0
1930,0,0.2008,0,0,0,0,0,0
1931,1,0.289,0,0,0,0,0,1
1932,0,0.2975,0,0,0,0,0,0
1933,0,0.1906,0,0,0,0,0,0
1934,0,0.1971,0,0,0,0,1,0
1935,0,0.1979,0,0,0,0,0,0
1936,0,0.1987,0,0,0,0,0,0
1937,0,0.1952,0,0,0,0,0,0
1938,0,0.2088,0,0,0,0,0,0
1939,0,0.2481,0,0,0,0,0,0
1940,0,0.2416,0,0,0,0,0,0
1941,0,0.2416,0,0,0,0,1,0
1942,0,0.2416,0,0,0,0,1,0
1943,0,0.2416,0,0,0,0,0,0
1944,0,0.2416,0,0,0,0,0,0
1945,0,0.2416,0,0,0,0,0,0
1946,0,0.2416,0,0,0,0,0,0
1947,0,0.2416,0,0,0,0,0,0
1948,0,0.2416,0,0,0,0,0,0
1949,0,0.3484,0,0,0,1,0,0
1950,0,0.3484,0,0,0,0,0,0
1951,0,0.3484,0,0,0,0,0,0
1952,0,0.3484,0,0,0,0,0,0
1953,0,0.3484,0,0,0,0,0,0
1954,0,0.3484,0,0,0,0,0,0
1955,0,0.3484,0,0,0,0,0,0
1956,0,0.3484,0,0,0,0,0,0
1957,0,0.3509,0,0,0,0,0,0
1958,0,0.3509,0,0,0,0,0,0
1959,0,0.3509,0,0,0,0,0,0
1960,0,0.3509,0,0,0,0,0,0
1961,0,0.3509,0,0,0,0,0,0
1962,0,0.4348,0,0,0,1,0,0
1963,0,0.4348,0,0,0,0,0,0
1964,0,0.4348,0,0,0,0,0,0
1965,0,0.4348,0,0,0,0,0,0
1966,0,0.4348,0,0,0,0,0,0
1967,0,0.4348,0,0,0,0,0,0
1968,0,0.4348,0,0,0,0,0,0
1969,0,0.4348,0,0,0,0,0,0
1970,0,0.4348,0,0,0,0,0,0
1971,0,0.4348,0,0,0,0,0,0
1972,0,0.4348,0,0,0,0,0,0
1973,0,0.4348,0,0,0,0,0,0
1974,0,0.3913,0,0,0,0,0,0
1975,0,0.3913,0,0,0,0,0,0
1976,0,0.3913,0,0,0,0,0,0
1977,0,0.3913,0,0,0,0,0,0
1978,0,0.3913,0,0,0,0,0,0
1979,0,0.7,0,0,0,1,0,0
1980,1,0.699999999,0,0,0,0,1,0
1981,1,0.699999999,0,0,0,0,0,1
1982,1,0.699999999,0,0,0,0,0,1
1983,1,0.699999999,0,0,0,0,0,1
1984,0,0.7,0,1,0.4,0,0,0
1985,0,0.7,0,0,0,0,0,0
1986,0,0.7,0,0,0,0,1,0
1987,0,0.7,0,0,0,0,1,0
1988,0,0.7,0,0,0,0,0,0
1989,0,1.1,0,0,0,1,1,0
1990,0,2,0,0,0,1,1,1
1991,0,3.33221,0,0,0,1,0,1
1992,0,3.33861,0,0,0,0,1,1
1993,0,3.3718,0,0,0,0,0,1
1994,0,3.391,0,0,0,0,0,1
1995,0,3.39,0,0,0,0,0,1
1996,0,3.388,0,0,0,0,0,0
1997,0,3.388,0,0,0,0,0,0
1998,0,3.388,0,0,0,0,0,0
1999,0,3.405,0,0,0,0,0,0
2000,0,3.69,0,0,0,0,0,0
2001,0,4.49,0,0,0,1,0,0
2002,0,4.5,0,0,0,0,0,0
2003,0,6.1532,0,0,0,1,0,0
2004,0,6.1314,0,0,0,0,0,0
2005,0,5.7322,0,0,0,0,0,0
2006,0,5.7036,0,0,0,0,0,0
2007,0,5.5038,0,0,0,0,0,0
2008,0,5.5041,0,0,0,0,0,0
2009,0,5.4754,0,0,0,0,0,0
2010,0,5.7926,0,0,0,0,0,0
2011,0,6.0169,0,0,0,0,0,0
2012,0,6.3057,0,0,0,0,0,0
2013,0,6.94,0,0,0,0,0,0
2014,0,7.15,0,0,0,0,0,0
1948,0,4.9582,0,0,0,0,0,0
1949,0,4.9582,0,0,0,0,0,0
1950,0,7.1428,0,0,0,0,0,0
1951,0,7.1428,0,0,0,0,0,0
1952,0,7.1428,0,0,0,0,0,0
1953,0,7.1428,0,0,0,0,0,0
1954,0,7.1429,0,0,0,0,0,0
1955,0,7.1429,0,0,0,0,0,0
1956,0,7.1429,0,0,0,0,0,0
1957,0,7.1429,0,0,0,0,0,0
1958,0,7.1429,0,0,0,0,0,0
1959,0,7.1429,0,0,0,0,0,0
1960,0,7.1429,0,0,0,0,0,0
1961,0,7.1429,0,0,0,0,0,0
1962,0,7.1429,0,0,0,0,0,0
1963,0,7.1429,0,0,0,0,0,0
1964,0,7.1429,0,0,0,0,0,0
1965,0,7.1429,0,0,0,0,0,0
1966,0,7.1429,0,0,0,0,0,0
1967,0,7.1429,0,0,0,0,0,0
1968,0,7.1429,0,0,0,0,0,0
1969,0,7.1429,0,0,0,0,0,0
1970,0,7.1429,0,0,0,0,0,0
1971,0,7.1429,0,0,0,0,0,0
1972,0,7.1429,0,0,0,0,0,0
1973,0,6.9,0,0,0,0,0,0
1974,0,7.1429,0,0,0,0,0,0
1975,0,7.1429,0,0,0,0,0,0
1976,0,8.27,0,0,0,1,0,0
1977,0,7.9471,0,0,0,0,0,0
1978,0,7.1588,0,0,0,0,0,0
1979,0,7.3276,0,0,0,0,0,0
1980,0,7.568499999,0,0,0,0,0,0
1981,0,10.2862,0,0,0,1,0,0
1982,0,12.7249,0,0,0,1,0,0
1983,0,13.7959,0,0,0,0,0,0
1984,0,15.7813,0,0,0,0,1,0
1985,1,16.2843,0,0,0,0,0,1
1986,1,16.0422,0,0,0,0,0,1
1987,1,16.5149,0,0,0,0,0,1
1988,1,18.5994,0,0,0,0,0,1
1989,1,21.601,0,0,0,1,0,0
1990,0,24.0841,0,0,0,0,0,0
1991,0,28.0741,0,0,0,1,0,0
1992,1,36.2163,0,0,0,1,1,1
1993,1,68.1631,0,0,0,1,1,1
1994,1,44.8389,0,1,0,0,1,1
1995,1,55.9389,0,1,0,0,0,1
1996,1,55.0211,0,1,0,0,0,0
1997,1,62.6778,0,1,0,0,0,0
1998,1,61.9056,0,1,0,0,0,0
1999,1,72.9306,0,0,0,1,0,0
2000,0,78.0361,0,1,0,0,0,0
2001,0,78.6,0,0,0,0,0,0
2002,0,77.0722,0,0,0,0,0,0
2003,0,76.1389,0,0,0,0,0,0
2004,0,77.3444,0,0,0,0,0,0
2005,0,72.3667,0,0,0,0,0,0
2006,0,69.3967,0,0,0,0,0,0
2007,0,62.675,0,0,0,0,0,0
2008,0,77.71111111,0,0,0,1,0,0
2009,0,75.82,0,0,0,0,0,0
2010,0,80.75194444,0,0,0,0,0,0
2011,0,85.0681,0,0,0,0,0,0
2012,0,86.0008,0,0,0,0,0,0
2013,0,86.31,0,0,0,0,0,0
2014,0,89.35,0,0,0,0,0,0
1947,0,3.3085,0,0,0,0,0,0
1948,0,3.3085,0,0,0,0,1,0
1949,0,4.7619,0,0,0,0,0,0
1950,0,4.7619,0,0,0,0,0,0
1951,0,4.79201,0,0,0,0,0,0
1952,0,4.74495,0,0,0,0,0,0
1953,0,4.74292,0,0,0,0,0,0
1954,0,4.78754,0,0,0,0,0,0
1955,0,4.75544,0,0,0,0,0,0
1956,0,4.78651,0,0,0,0,0,0
1957,0,4.66297,0,0,0,0,0,0
1958,0,4.75764,0,0,0,0,0,0
1959,0,4.76189,0,0,0,0,0,0
1960,0,4.75544,0,0,0,0,0,0
1961,0,4.74816,0,0,0,0,0,0
1962,0,4.75764,0,0,0,0,0,0
1963,0,4.76768,0,0,0,0,0,0
1964,0,4.77879,0,0,0,0,0,0
1965,0,4.75714,0,0,0,0,0,0
1966,0,4.77862,0,0,0,0,0,0
1967,0,5.541,0,0,0,0,0,0
1968,0,5.59189,0,0,0,0,0,0
1969,0,5.55392,0,0,0,0,0,0
1970,0,5.57016,0,0,0,0,0,0
1971,0,5.22362,0,0,0,0,0,0
