year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,currency_crises,inflation_crises,banking_crisis
1972,0,5.6783,0,0,0,0,0,0
1973,0,5.7392,0,0,0,0,1,0
1974,0,5.6774,0,0,0,0,1,0
1975,0,6.5892,0,0,0,0,0,0
1976,0,6.639,0,0,0,0,0,0
1977,0,6.3503,0,0,0,0,0,0
1978,0,5.921,0,0,0,0,0,0
1979,0,7.5855,0,0,0,1,1,0
1980,0,7.8349,0,0,0,0,1,0
1981,0,10.3293,0,0,0,1,1,0
1982,0,10.8605,0,0,0,0,0,0
1983,0,12.7233,0,0,0,1,0,0
1984,0,15.6033,0,0,0,1,0,0
1985,0,14.31,0,0,0,0,0,0
1986,0,13.1367,0,0,0,0,0,0
1987,0,12.1752,0,0,0,0,0,0
1988,0,13.8337,0,0,0,0,0,0
1989,0,14.996,0,0,0,0,0,0
1990,0,14.322,0,0,0,0,0,0
1991,0,14.7939,0,0,0,0,0,0
1992,0,16.998,0,0,0,0,0,0
1993,0,18.6558,0,0,0,0,0,0
1994,0,17.8626,0,0,0,0,0,0
1995,0,17.6641,0,0,0,0,0,0
1996,0,17.9715,0,0,0,0,0,1
1997,0,22.265,0,0,0,1,0,0
1998,0,24.7835,0,0,0,0,0,0
1999,0,25.468,0,0,0,0,0,0
2000,0,27.8817,0,0,0,0,0,0
2001,0,30.3942,0,0,0,0,0,0
2002,0,29.1968,0,0,0,0,0,0
2003,0,26.0877,0,0,0,0,0,0
2004,0,28.2044,0,0,0,0,0,0
2005,0,30.6666,0,0,0,0,0,0
2006,0,34.3368,0,0,0,0,0,0
2007,0,28.2162,0,0,0,0,0,0
2008,0,31.7555,0,0,0,0,0,0
2009,0,30.2905,0,0,0,0,0,0
2010,0,30.39,0,0,0,0,0,0
2011,0,29.33,0,0,0,0,0,0
2012,0,30.52,0,0,0,0,0,0
2013,0,30.12512987,0,0,0,0,0,0
2014,0,31.7374584,0,0,0,0,0,0
1940,0,0.917,0,0,0,0,1,0
1941,0,0.917,0,0,0,0,1,0
1942,0,0.75,0,0,0,0,1,0
1943,0,0.5,0,0,0,1,1,0
1944,0,0.5674,0,0,0,1,1,0
1945,0,0.5657,0,0,0,0,0,0
1946,0,1.2228,0,0,0,0,1,0
1947,0,1.2228,0,0,0,1,1,0
1948,0,1.2228,0,0,0,0,1,0
1949,0,2.197,0,0,0,1,1,0
1950,0,3.5824,0,0,0,1,0,0
1951,0,3.5824,0,0,0,0,1,0
1952,0,3.5824,0,0,0,0,0,0
1953,0,3.5824,0,0,0,0,0,0
1954,0,3.5824,0,0,0,0,0,0
1955,0,3.5824,0,0,0,0,0,0
1956,0,3.5824,0,0,0,0,0,0
1957,0,3.5875,0,0,0,0,0,0
1958,0,4.2958,0,0,0,1,0,0
1959,0,4.908,0,0,0,1,0,0
1960,0,5.0605,0,0,0,0,0,0
1961,0,5.0605,0,0,0,0,0,0
1962,0,5.0241,0,0,0,0,0,0
1963,0,5.0226,0,0,0,0,0,0
1964,0,5.0226,0,0,0,0,0,0
1965,0,5.0235,0,0,0,0,0,0
1966,0,5.0265,0,0,0,0,0,0
1967,0,5.0276,0,0,0,0,0,0
1968,0,5.0409,0,0,0,0,0,0
1969,0,5.0493,0,0,0,0,0,0
1970,0,5.0269,0,0,0,0,0,0
1971,0,4.76,0,0,0,0,0,0
1972,0,4.5569,0,0,0,0,0,0
1973,0,3.8851,0,0,0,0,0,0
1974,0,4.1548,0,0,0,0,0,0
1975,0,3.8379,0,0,0,0,0,0
1976,0,4.2041,0,0,0,0,0,0
1977,0,4.32,0,0,0,0,0,0
1978,0,3.88645,0,0,0,0,0,0
1979,0,3.7388,0,0,0,0,0,0
1980,0,4.334149999,0,0,0,0,0,0
1981,0,5.333349999,0,0,0,0,0,0
1982,0,6.267549999,0,0,0,0,0,0
1983,1,8.060999999,0,1,0.13,0,0,1
1984,1,9.551199999,0,0,0,0,0,1
1985,0,9.621299999,0,0,0,1,0,0
1986,0,8.7117,0,1,0.13,0,0,0
1987,0,7.8003,0,1,0.13,0,0,0
1988,0,8.2106,0,1,0.13,0,0,0
1989,0,8.1218,0,1,0.13,0,0,0
1990,0,8.0429,0,1,0.13,0,0,0
1991,0,8.1499,0,0,0,0,0,0
1992,0,9.0487,0,0,0,0,0,0
1993,0,9.6512,0,0,0,0,0,0
1994,0,8.9596,0,0,0,0,0,0
1995,0,8.4689,0,0,0,0,0,0
1996,0,8.7995,0,0,0,0,0,0
1997,0,9.7141,0,0,0,0,0,0
1998,0,9.2551,0,0,0,0,0,0
1999,0,10.087,0,0,0,0,0,0
2000,0,10.619,0,0,0,0,0,0
2001,0,11.56,0,0,0,0,0,0
2002,0,10.167,0,0,0,0,0,0
2003,0,8.7499,0,0,0,0,0,0
2004,0,8.2177,0,0,0,0,0,0
2005,0,9.2494,0,0,0,0,0,0
2006,0,8.4566,0,0,0,0,0,0
2007,0,7.7132,0,0,0,0,0,0
2008,0,8.0982,0,0,0,0,0,0
2009,0,7.8601,0,0,0,0,0,0
2010,0,8.3569,0,0,0,0,0,0
2011,0,8.5772,0,0,0,0,0,0
2012,0,8.4335,0,0,0,0,0,0
2013,0,8.15,0,0,0,0,0,0
2014,0,8.82,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0
1973,0,0.657894999,0,0,0,1,0,0
1974,0,0.616218881,0,0,0,0,0,0
1975,0,0.614665929,0,0,0,0,1,0
1976,0,0.631074088,0,0,0,0,0,0
1977,0,0.651380928,0,0,0,0,1,0
1978,0,0.64808814,0,0,0,0,0,0
1979,0,0.570613409,0,0,0,0,0,0
1980,0,0.544454729,0,0,0,0,0,0
1981,0,0.636902109,0,0,0,1,0,0
1982,0,0.670241287,0,0,0,0,1,0
1983,0,0.748559024,0,0,0,0,0,0
1984,0,0.808276754,0,0,0,0,1,0
1985,0,0.99960016,0,0,0,1,1,0
1986,0,3.316749585,0,0,0,1,0,0
1987,0,4.140786749,0,1,0,1,0,0
1988,0,5.353319058,0,1,0,1,0,0
1989,0,7.651109411,0,1,0,1,1,0
1990,0,9.00090009,0,1,0,1,1,0
1992,1,19.64636542,0,1,0,1,0,1
1993,1,21.88183807,0,1,0,0,1,1
1994,1,21.99736032,0,1,0,0,1,1
1995,1,21.88662727,0,0,0,0,1,1
1996,0,21.8861,0,0,0,0,1,0
1997,0,21.886,0,0,0,0,1,1
1998,0,21.886,0,0,0,0,0,0
1999,0,97.95,0,0,0,1,0,0
2000,0,109.55,0,0,0,0,0,0
2001,0,112.95,0,0,0,0,0,0
2002,0,126.4,0,0,0,0,0,0
2003,0,136.5,0,0,0,0,0,0
2004,0,132.35,0,1,0,0,0,0
2005,0,129,0,1,0,0,0,0
2006,0,128.27,0,0,0,0,0,0
2007,0,117.968,0,0,0,0,0,0
2008,0,132.5625,0,0,0,0,0,0
2009,1,149.581,0,0,0,0,0,1
2010,1,150.6617,0,0,0,0,0,1
2011,1,158.267,0,0,0,0,0,1
2012,1,155.27,0,0,0,0,0,1
2013,1,155.2,0,0,0,0,0,1
2014,1,155.25,0,0,0,0,0,1
1900,0,0.2061,0,0,0,0,0,0
1901,0,0.2045,0,0,0,0,0,0
1902,0,0.2049,0,0,0,0,0,0
1903,0,0.2047,0,0,0,0,0,0
1904,0,0.20455,0,0,0,0,0,0
1905,0,0.20485,0,0,0,0,0,0
1906,0,0.2053,0,0,0,0,0,0
1907,0,0.20405,0,0,0,0,0,0
1908,0,0.2052,0,0,0,0,0,0
1909,0,0.2049,0,0,0,0,0,0
1910,0,0.2048,0,0,0,0,0,0
1911,0,0.2051,0,0,0,0,0,0
1912,0,0.20485,0,0,0,0,0,0
1913,0,0.20485,0,0,0,0,0,0
1914,0,0.18925,0,0,0,0,0,0
1915,0,0.2063,0,0,0,0,0,0
1916,0,0.20965,0,0,0,0,0,0
1917,0,0.20985,0,0,0,0,0,0
1918,0,0.2098,0,0,0,0,0,0
1919,0,0.20985,0,0,0,0,0,0
1920,0,0.2532,0,0,0,0,1,0
1921,0,0.2406,0,0,0,0,0,0
1922,0,0.21695,0,0,0,0,0,0
1923,0,0.21295,0,0,0,0,0,0
1924,0,0.21295,0,0,0,0,0,0
1925,0,0.20575,0,0,0,0,0,0
1926,0,0.2056,0,0,0,0,0,0
1927,0,0.2065,0,0,0,0,0,0
1928,0,0.2065,0,0,0,0,0,0
1929,0,0.2065,0,0,0,0,0,0
1930,0,0.2065,0,0,0,0,0,0
1931,0,0.2065,0,0,0,0,0,0
1932,0,0.2084,0,0,0,0,0,0
1933,0,0.19635,0,0,0,1,0,0
1934,0,0.1963,0,0,0,0,0,0
1935,0,0.20385,0,0,0,0,0,0
1936,0,0.2008,0,0,0,0,0,0
1937,0,0.202,0,0,0,0,0,0
1938,0,0.2012,0,0,0,0,0,0
1939,0,0.21565,0,0,0,0,0,0
1940,0,0.25125,0,0,0,1,0,0
1941,0,0.25125,0,0,0,0,0,0
1942,0,0.25125,0,0,0,0,0,0
1943,0,0.25125,0,0,0,0,0,0
1944,0,0.25125,0,0,0,0,0,0
1945,0,0.2497,0,0,0,0,0,0
1946,0,0.2497,0,0,0,0,0,0
1947,0,0.3077,0,0,0,0,0,0
1948,0,0.28985,0,0,0,0,0,0
1949,0,0.31745,0,0,0,0,0,0
1950,0,0.35715,0,0,0,1,0,0
1951,0,0.35715,0,0,0,0,0,0
1952,0,0.35715,0,0,0,0,0,0
1953,0,0.35715,0,0,0,0,0,0
1954,0,0.35715,0,0,0,0,0,0
1955,0,0.35715,0,0,0,0,0,0
1956,0,0.35715,0,0,0,0,0,0
1957,0,0.3568,0,0,0,0,0,0
1958,0,0.3554,0,0,0,0,0,0
1959,0,0.35555,0,0,0,0,0,0
1960,0,0.3557,0,0,0,0,0,0
1961,0,0.3557,0,0,0,0,0,0
1962,0,0.3557,0,0,0,0,0,0
1963,0,0.3573,0,0,0,0,0,0
1964,0,0.3576,0,0,0,0,0,0
1965,0,0.3571,0,0,0,0,0,0
1966,0,0.3571,0,0,0,0,0,0
1968,0,0.7119,0,0,0,0,0,0
1969,0,0.7149,0,0,0,0,0,0
1970,0,0.7131,0,0,0,0,0,0
1971,0,0.696,0,0,0,0,0,0
1972,0,0.7394,0,0,0,0,0,0
1973,0,0.6667,0,0,0,0,0,0
1974,0,0.6678,0,0,0,0,0,0
1975,0,0.6725,0,0,0,0,0,0
1976,0,0.8673,0,0,0,0,0,0
1977,0,0.8681,0,0,0,0,0,1
1978,0,0.8684,0,0,0,0,0,1
1979,0,0.8244,0,0,0,0,0,0
1980,0,0.745378653,0,0,0,0,0,0
1981,0,0.956571648,0,0,0,1,0,0
1982,0,1.076310408,0,0,0,0,0,0
1983,0,1.221896383,0,0,0,0,0,0
1984,0,1.984914649,0,0,0,1,0,0
1985,0,2.557544764,0,1,0.36,1,0,0
1986,0,2.183406114,0,1,0.36,0,0,0
1987,0,1.929943067,0,1,0.36,0,0,0
1988,0,2.377725468,0,0,0,1,0,0
1989,0,2.536011361,0,1,0.36,0,0,1
1990,0,2.562525625,0,0,0,0,0,0
1991,0,2.743032697,0,0,0,0,0,0
1992,0,3.053,0,0,0,0,0,0
1993,0,3.3975,0,1,0.36,0,0,0
1994,0,3.5435,0,0,0,0,0,0
1995,0,3.6475,0,0,0,0,0,0
1996,0,4.6825,0,0,0,1,0,0
1997,0,4.8675,0,0,0,0,0,0
1998,0,5.86,0,0,0,1,0,0
1999,0,6.1545,0,0,0,0,0,0
2000,0,7.5685,0,0,0,1,0,0
2001,0,12.1265,0,0,0,1,0,0
2002,0,8.64,0,0,0,0,0,0
2003,0,6.64,0,0,0,0,0,0
2004,0,5.63,0,0,0,0,0,0
2005,0,6.325,0,0,0,0,0,0
2006,0,6.97,0,0,0,0,0,0
2007,0,6.81,0,0,0,0,0,0
2008,0,9.305,0,0,0,1,0,0
2009,0,7.38,0,0,0,0,0,0
2010,0,6.6316,0,0,0,0,0,0
2011,0,8.1429,0,0,0,1,0,0
2012,0,8.50115,0,0,0,0,0,0
2013,0,10.48985,0,0,0,1,0,0
1940,0,49.189,0,0,0,0,1,0
1941,0,44.937,0,0,0,0,1,0
1942,0,129.831,0,0,0,0,1,0
1943,0,50,0,0,0,0,1,0
1944,0,55.355,0,0,0,1,1,0
1945,0,55.191,0,0,0,0,0,0
1946,0,119.3,0,0,0,1,1,0
1947,0,119.3,0,0,0,0,1,0
1948,0,119.3,0,0,0,0,1,0
1949,0,214.34,0,0,0,1,0,0
1950,0,349.5,0,0,0,1,0,0
1951,0,349.5,0,0,0,0,0,0
1952,0,349.5,0,0,0,0,0,0
1953,0,349.5,0,0,0,0,0,0
1954,0,349.5,0,0,0,0,0,0
1955,0,349.5,0,0,0,0,0,0
1956,0,349.5,0,1,0.06,0,0,0
1957,0,350,0,0,0,0,0,0
1959,0,0.42,0,0,0,0,0,0
1960,0,0.42,0,0,0,0,0,0
1961,0,0.42,0,0,0,0,0,0
1962,0,0.42,0,0,0,0,0,0
1963,0,0.42,0,1,0.06,0,0,0
1964,0,0.42,0,0,0,0,0,0
1965,0,0.52,0,0,0,1,0,0
1966,0,0.52,0,0,0,0,0,0
1967,0,0.52,0,0,0,0,0,0
1968,0,0.52,0,0,0,0,0,0
1969,0,0.52,0,0,0,0,0,0
1970,0,0.52,0,0,0,0,0,0
1971,0,0.48,0,0,0,0,0,0
1972,0,0.475,0,0,0,0,0,0
1973,0,0.3865,0,0,0,0,0,0
1974,0,0.425,0,0,0,1,0,0
1975,0,0.4712,0,0,0,0,0,0
1976,0,0.5587,0,0,0,0,0,0
1977,0,0.4275,0,0,0,0,0,0
1978,0,0.46,0,0,0,1,0,0
1979,0,0.405,0,1,0.06,0,0,0
1980,0,0.418699999,0,1,0.06,0,0,0
1981,0,0.515649999,0,1,0.06,0,0,0
1982,0,0.615749999,0,1,0.06,0,0,0
1983,0,0.7271,0,0,0,0,0,0
1984,0,0.8666,0,0,0,0,0,0
1985,0,0.75695,0,0,0,0,0,0
1986,0,0.8402,0,0,0,1,0,0
1987,0,0.77785,0,0,0,0,0,0
1988,0,0.89845,0,0,0,0,0,0
1989,0,0.9046,0,0,0,0,0,0
1990,0,0.83675,0,0,0,0,0,0
1991,1,0.8645,0,0,0,0,0,1
1992,1,0.95065,0,0,0,0,0,1
1993,1,1.0466,0,0,0,0,0,1
1994,1,0.9912,0,0,0,0,0,1
1995,1,0.9508,0,0,0,0,0,1
1996,0,0.9985,0,0,0,0,0,0
1997,0,1.1475,0,0,0,0,0,0
1998,0,1.101,0,0,0,0,0,0
1999,0,1.2525,0,0,0,0,0,0
2000,0,1.3853,0,0,0,0,0,0
2001,0,1.4683,0,0,0,0,0,0
2002,0,1.3341,0,0,0,0,0,0
2003,0,1.2083,0,0,0,0,0,0
2004,0,1.1994,0,0,0,0,0,0
2005,0,1.3634,0,0,0,0,0,0
2006,0,1.2971,0,0,0,0,0,0
2007,0,1.2207,0,0,0,0,0,0
2008,0,1.3099,0,0,0,0,0,0
2009,0,1.3173,0,0,0,0,0,0
2010,0,1.4379,0,0,0,0,0,0
2011,0,1.4993,0,0,0,0,0,0
2012,0,1.5506,0,0,0,0,0,0
2013,0,1.653095696,0,0,0,0,0,0
2014,0,1.862411798,0,0,0,0,0,0
1943,0,0.0004976,0,0,0,0,0,0
1944,0,0.0004976,0,0,0,0,0,0
1945,0,0.0004968,0,0,0,0,0,0
1946,0,0.0004968,0,0,0,0,0,0
1947,0,0.0004958,0,0,0,0,0,0
1948,0,0.000496,0,0,0,0,0,0
1949,0,0.0007142,0,0,0,0,0,0
1950,0,0.000714,0,0,0,1,0,0
1951,0,0.000719,0,0,0,0,0,0
1952,0,0.0007118,0,0,0,0,0,0
1953,0,0.0007116,0,0,0,0,0,0
1954,0,0.000718,0,0,0,0,0,0
1955,0,0.0007136,0,0,0,0,0,0
1956,0,0.000718,0,0,0,0,0,0
1957,0,0.000712,0,0,0,0,0,0
1958,0,0.0007138,0,0,0,0,0,0
1959,0,0.0007144,0,0,0,0,0,0
1960,0,0.0007134,0,0,0,0,0,0
1961,0,0.0007122,0,0,0,0,0,0
1962,0,0.0007136,0,0,0,0,0,0
1963,0,0.000715,0,0,0,0,0,0
1964,0,0.0007168,0,0,0,0,0,0
1965,0,0.0007136,0,0,0,0,0,0
1966,0,0.0007168,0,0,0,0,0,0
1967,0,0.0007104,0,0,0,0,0,0
1968,0,0.0007168,0,0,0,0,0,0
1969,0,0.0007126,0,0,0,0,0,0
1970,0,0.0007141,0,0,0,0,0,0
1971,0,0.0007143,0,0,0,0,0,0
1972,0,0.0007143,0,0,0,0,0,0
1973,0,0.0006429,0,0,0,0,0,0
1974,0,0.0006429,0,0,0,0,0,0
1975,0,0.0006429,0,0,0,0,0,0
1976,0,0.0007934,0,0,0,0,0,0
1977,0,0.0007589,0,0,0,1,0,0
1978,0,0.0007862,0,0,0,0,0,0
1979,0,0.0007775,0,0,0,0,0,0
1980,0,0.0008031,0,0,0,0,0,0
1981,0,0.00088,0,0,0,0,0,0
1982,0,0.0009285,0,0,0,0,0,0
1983,0,0.001236,0,1,0,1,0,0
1984,0,0.002105,0,1,0,1,1,0
1985,0,0.00563,0,1,0,1,1,0
1986,0,0.01448,0,1,0,1,1,0
1987,0,0.0077,0,1,0,0,1,0
1988,0,0.0095,0,1,0,1,1,0
1989,0,0.01841,0,1,0,1,1,0
1990,0,0.0459,0,1,0,1,1,0
1991,0,0.08733,0,1,0,1,1,0
1992,0,0.31496,0,1,0,1,1,0
1993,0,0.561,0,1,0,1,1,0
1994,0,0.699,0,1,0,1,1,0
1995,1,0.978,0,0,0,1,1,1
1996,1,1.287,0,0,0,1,1,1
1997,1,1.44,0,0,0,0,1,1
1998,1,2.425,0,0,0,1,1,1
1999,0,2.76,0,0,0,0,1,0
2000,0,4.45,0,0,0,1,1,0
2001,0,3.735,0,0,0,0,1,0
2002,0,4.5,0,0,0,0,1,0
2003,0,4.4,0,0,0,0,1,0
2004,0,4.6,0,0,0,0,0,0
2005,0,3.34,0,0,0,0,0,0
2006,0,4.41722,0,0,0,0,0,0
2007,0,3.83,0,0,0,0,0,0
2008,0,4.83226,0,0,0,1,0,0
2009,0,4.631,0,0,0,0,0,0
2010,0,4.7899,0,0,0,0,0,0
2011,0,5.11398,0,0,0,0,0,0
2012,0,5.1466133,0,0,0,0,0,0
2013,0,5.52,0,0,0,1,0,0
2014,0,6.3856,0,0,0,0,0,0
1921,0,4.81E-27,0,0,0,0,0,0
1922,0,4.34E-27,0,0,0,0,0,0
1923,0,4.59E-27,0,0,0,0,0,0
1927,0,4.10E-27,0,0,0,0,0,0
1928,0,4.12E-27,0,0,0,0,0,0
1929,0,4.10E-27,0,0,0,0,0,0
1930,0,4.12E-27,0,0,0,0,0,0
1931,0,5.93E-27,0,0,0,0,0,0
1932,0,6.10E-27,0,0,0,0,0,0
1933,0,3.91E-27,0,0,0,0,0,0
1934,0,4.04E-27,0,0,0,0,0,0
1935,0,4.06E-27,0,0,0,0,0,0
1936,0,4.08E-27,0,0,0,0,0,0
1937,0,4.00E-27,0,0,0,0,0,0
1938,0,4.28E-27,0,0,0,0,0,0
1939,0,5.09E-27,0,0,0,0,0,0
1940,0,4.96E-27,0,0,0,0,0,0
1941,0,4.96E-27,0,0,0,0,0,0
1942,0,4.96E-27,0,0,0,0,0,0
1943,0,4.96E-27,0,0,0,0,0,0
1944,0,4.96E-27,0,0,0,0,0,0
1945,0,4.96E-27,0,0,0,0,0,0
1946,0,4.96E-27,0,0,0,0,0,0
1947,0,4.96E-27,0,0,0,0,0,0
1948,0,4.96E-27,0,0,0,0,0,0
1949,0,7.14E-27,0,0,0,0,0,0
1950,0,7.14E-27,0,0,0,0,0,0
1951,0,7.14E-27,0,0,0,0,0,0
1952,0,7.14E-27,0,0,0,0,0,0
1953,0,7.14E-27,0,0,0,0,0,0
1954,0,7.14E-27,0,0,0,0,0,0
1955,0,7.14E-27,0,0,0,0,0,0
1956,0,7.18E-27,0,0,0,0,0,0
1957,0,7.10E-27,0,0,0,0,0,0
1958,0,7.10E-27,0,0,0,0,0,0
1959,0,7.12E-27,0,0,0,0,0,0
1960,0,7.15E-27,0,0,0,0,0,0
1961,0,7.11E-27,0,0,0,0,0,0
1962,0,7.14E-27,0,0,0,0,0,0
1963,0,7.14E-27,0,0,0,0,0,0
1964,0,7.14E-27,0,0,0,0,0,0
1965,0,7.14E-27,1,1,0,0,0,0
1966,0,7.14E-27,1,1,0,0,0,0
1967,0,7.14E-27,1,1,0,0,0,0
1968,0,7.14E-27,1,1,0,0,0,0
1969,0,7.14E-27,1,1,0,0,0,0
1970,0,7.16E-27,1,1,0,0,0,0
1971,0,6.71E-27,1,1,0,0,0,0
1972,0,6.52E-27,1,1,0,0,0,0
1973,0,6.06E-27,1,1,0,0,0,0
1974,0,5.49E-27,1,1,0,0,0,0
1975,0,6.25E-27,1,1,0,0,0,0
1976,0,6.19E-27,1,1,0,0,0,0
1977,0,6.47E-27,1,1,0,1,0,0
1978,0,6.75E-27,1,1,0,0,0,0
1979,0,6.74E-27,1,1,0,0,0,0
1980,0,6.31E-27,1,1,0,0,0,0
1981,0,7.23E-27,0,0,0,0,0,0
1982,0,7.39E-27,0,0,0,1,0,0
1983,0,1.11E-26,0,0,0,1,1,0
1984,0,1.45E-26,0,0,0,1,1,0
1985,0,1.63E-26,0,0,0,0,0,0
1986,0,1.68E-26,0,0,0,0,0,0
1987,0,1.60E-26,0,0,0,0,0,0
1988,0,1.93E-26,0,0,0,1,0,0
1989,0,2.22E-26,0,0,0,1,0,0
1990,0,2.61E-26,0,0,0,1,0,0
1991,0,5.04E-26,0,0,0,1,1,0
1992,0,5.37E-26,0,0,0,0,1,0
1993,0,6.81E-26,0,0,0,1,1,0
1994,0,8.38E-26,0,0,0,1,1,0
1995,1,9.31E-26,0,0,0,0,1,1
1996,1,1.08E-25,0,0,0,1,0,1
1997,1,1.83E-25,0,0,0,1,1,1
1998,1,3.71E-25,0,0,0,1,1,1
1999,1,3.72E-25,0,0,0,0,1,1
2000,1,5.50E-25,1,1,0,1,1,1
2001,1,5.51E-25,1,1,0,0,1,1
2002,1,5.50E-25,1,1,0,0,1,1
2003,1,7.95E-24,1,1,0,1,1,1
2004,1,5.60E-23,1,1,0,1,1,1
2005,1,8.46E-22,1,1,0,1,1,1
2006,1,3.00E-19,1,1,0,1,1,1
2007,1,1.90E-16,1,1,0,1,1,1
2008,1,0.002,1,1,0,1,1,1
2009,1,354.8,1,1,0,1,0,1
2010,0,378.2,1,1,0,0,0,0
2011,0,361.9,1,1,0,0,0,0
2012,0,361.9,1,1,0,0,0,0
2013,0,361.9,1,1,0,0,0,0